data_lancamento,nome_artistico,nome_artista,qtd_artistas,qtd_playlists_spotify,qtd_destaques_spotify,qtd_transmissoes,qtd_playlists_apple,qtd_destaques_apple,qtd_playlists_deezer,qtd_destques_deezer,qtd_destaues_shazam,batidas_por_minuto,modo,acustica_%,instrumentalidade_%
2019-06-19,SEÏ¿½Ï¿½O,"SHAWN MENDES, CAMILA CABELLO",2,15010,2,2484812918.0,453,50,1.785,1,8.0,117,MINOR,4,0
2019-05-16,NEW MAGIC WAND,"TYLER, THE CREATOR",2,4708,0,461437791.0,13,7,55.0,0,1.0,140,MINOR,10,0
2019-12-06,ADORE YOU,HARRY STYLES,1,13454,1,1439191367.0,246,71,519.0,2,5.0,99,MAJOR,2,0
2020-02-29,LA SANTA,"DADDY YANKEE, BAD BUNNY",2,4890,20,759208783.0,52,42,100.0,0,0.0,93,MAJOR,3,0
1991-09-24,SOMETHING IN THE WAY - REMASTERED 2021,NIRVANA,1,9514,0,368646862.0,45,27,1.197,0,43.0,106,MAJOR,74,42
2022-03-11,SWEETEST PIE,"DUA LIPA, MEGAN THEE STALLION",2,3501,0,299634472.0,69,2,51.0,11,0.0,124,MAJOR,17,0
2022-03-04,BAM BAM (FEAT. ED SHEERAN),"CAMILA CABELLO, ED SHEERAN",2,6111,4,756907987.0,185,40,492.0,9,35.0,95,MAJOR,18,0
2022-01-21,UNA NOCHE EN MEDELLÏ¿½,CRIS MJ,1,5415,32,682475162.0,46,16,53.0,1,2.0,96,MINOR,10,0
2021-11-11,ENVOLVER,ANITTA,1,4673,2,546191065.0,123,113,180.0,1,4.0,92,MINOR,15,0
2022-03-03,STARLIGHT,DAVE,1,1856,3,229473310.0,29,40,31.0,1,1.0,124,MAJOR,35,0
2022-03-03,HATI-HATI DI JALAN,TULUS,1,200,2,202677468.0,12,4,0.0,0,0.0,72,MAJOR,70,9
2022-02-04,"I'M TIRED - FROM ""EUPHORIA"" AN ORIGINAL HBO SERIES",LABRINTH,1,1888,0,121913181.0,26,1,58.0,0,0.0,71,MINOR,19,0
2022-02-01,DANÏ¿½Ï¿½A,"MC PEDRINHO, PEDRO SAMPAIO",2,911,2,208166039.0,45,0,99.0,1,1.0,135,MINOR,4,0
2004-05-04,YO VOY (FEAT. DADDY YANKEE),ZION & LENNOX,1,2954,2,527033089.0,18,82,0.0,0,5.0,95,MAJOR,4,0
2022-03-03,"RESIDENTE: BZRP MUSIC SESSIONS, VOL. 49","RESIDENTE, BIZARRAP",2,461,0,94616487.0,7,11,13.0,0,0.0,71,MINOR,56,0
2021-04-30,JORDAN,RYAN CASTRO,1,2844,2,394030335.0,29,2,35.0,1,0.0,180,MINOR,6,0
2022-02-18,NAIL TECH,JACK HARLOW,1,2939,0,193443895.0,42,0,24.0,0,0.0,150,MINOR,0,0
2022-02-18,CHALE,EDEN MUÏ¿½Ï,1,695,11,299648208.0,16,41,13.0,1,1.0,189,MAJOR,40,0
2022-02-15,DARARI,TREASURE,1,328,0,182978249.0,10,21,7.0,0,9.0,85,MAJOR,49,0
